================================================================================
                FINAL AGENT B CURRICULUM TRAJECTORY TRACE (ALL STEPS)
================================================================================
Step  | Lane ID         | Edge ID      | Speed (m/s)  | Route Idx | Remaining Route
231   | entry_N_0       | entry_N      | 4.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
232   | entry_N_0       | entry_N      | 4.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
233   | entry_N_0       | entry_N      | 4.17         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
234   | entry_N_0       | entry_N      | 4.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
235   | entry_N_0       | entry_N      | 4.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
236   | entry_N_0       | entry_N      | 4.24         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
237   | entry_N_0       | entry_N      | 4.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
238   | entry_N_0       | entry_N      | 4.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
239   | entry_N_0       | entry_N      | 4.32         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
240   | entry_N_0       | entry_N      | 4.34         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
241   | entry_N_0       | entry_N      | 4.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
242   | entry_N_0       | entry_N      | 4.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
243   | entry_N_0       | entry_N      | 4.42         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
244   | entry_N_0       | entry_N      | 4.44         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
245   | entry_N_0       | entry_N      | 4.47         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
246   | entry_N_0       | entry_N      | 4.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
247   | entry_N_0       | entry_N      | 4.52         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
248   | entry_N_0       | entry_N      | 4.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
249   | entry_N_0       | entry_N      | 4.58         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
250   | entry_N_0       | entry_N      | 4.61         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
251   | entry_N_0       | entry_N      | 4.64         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
252   | entry_N_0       | entry_N      | 4.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
253   | entry_N_0       | entry_N      | 4.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
254   | entry_N_0       | entry_N      | 4.73         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
255   | entry_N_0       | entry_N      | 4.76         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
256   | entry_N_0       | entry_N      | 4.79         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
257   | entry_N_0       | entry_N      | 4.82         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
258   | entry_N_0       | entry_N      | 4.85         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
259   | entry_N_0       | entry_N      | 4.88         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
260   | entry_N_0       | entry_N      | 4.91         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
261   | entry_N_0       | entry_N      | 4.94         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
262   | entry_N_0       | entry_N      | 4.98         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
263   | entry_N_0       | entry_N      | 5.01         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
264   | entry_N_0       | entry_N      | 5.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
265   | entry_N_0       | entry_N      | 5.07         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
266   | entry_N_0       | entry_N      | 5.10         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
267   | entry_N_0       | entry_N      | 5.14         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
268   | entry_N_0       | entry_N      | 5.17         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
269   | entry_N_0       | entry_N      | 5.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
270   | entry_N_0       | entry_N      | 5.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
271   | entry_N_0       | entry_N      | 5.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
272   | entry_N_0       | entry_N      | 5.30         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
273   | entry_N_0       | entry_N      | 5.33         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
274   | entry_N_0       | entry_N      | 5.37         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
275   | entry_N_0       | entry_N      | 5.40         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
276   | entry_N_0       | entry_N      | 5.43         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
277   | entry_N_0       | entry_N      | 5.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
278   | entry_N_0       | entry_N      | 5.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
279   | entry_N_0       | entry_N      | 5.53         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
280   | entry_N_0       | entry_N      | 5.56         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
281   | entry_N_0       | entry_N      | 5.60         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
282   | entry_N_0       | entry_N      | 5.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
283   | entry_N_0       | entry_N      | 5.66         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
284   | entry_N_0       | entry_N      | 5.70         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
285   | entry_N_0       | entry_N      | 5.73         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
286   | entry_N_0       | entry_N      | 5.76         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
287   | entry_N_0       | entry_N      | 5.80         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
288   | entry_N_0       | entry_N      | 5.83         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
289   | entry_N_0       | entry_N      | 5.86         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
290   | entry_N_0       | entry_N      | 5.90         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
291   | entry_N_0       | entry_N      | 5.93         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
292   | entry_N_0       | entry_N      | 5.96         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
293   | entry_N_0       | entry_N      | 6.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
294   | entry_N_0       | entry_N      | 6.03         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
295   | entry_N_0       | entry_N      | 6.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
296   | entry_N_0       | entry_N      | 6.09         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
297   | entry_N_0       | entry_N      | 6.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
298   | entry_N_0       | entry_N      | 6.16         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
299   | entry_N_0       | entry_N      | 6.19         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
300   | entry_N_0       | entry_N      | 6.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
301   | entry_N_0       | entry_N      | 6.26         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
302   | entry_N_0       | entry_N      | 6.29         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
303   | entry_N_0       | entry_N      | 6.33         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
304   | entry_N_0       | entry_N      | 6.36         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
305   | entry_N_0       | entry_N      | 6.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
306   | entry_N_0       | entry_N      | 6.43         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
307   | entry_N_0       | entry_N      | 6.46         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
308   | entry_N_0       | entry_N      | 6.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
309   | entry_N_0       | entry_N      | 6.53         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
310   | entry_N_0       | entry_N      | 6.56         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
311   | entry_N_0       | entry_N      | 6.60         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
312   | entry_N_0       | entry_N      | 6.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
313   | entry_N_0       | entry_N      | 6.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
314   | entry_N_0       | entry_N      | 6.71         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
315   | entry_N_0       | entry_N      | 6.74         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
316   | entry_N_0       | entry_N      | 6.78         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
317   | entry_N_0       | entry_N      | 6.82         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
318   | entry_N_0       | entry_N      | 6.85         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
319   | entry_N_0       | entry_N      | 6.89         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
320   | entry_N_0       | entry_N      | 6.93         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
321   | entry_N_0       | entry_N      | 6.96         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
322   | entry_N_0       | entry_N      | 7.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
323   | entry_N_0       | entry_N      | 7.03         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
324   | entry_N_0       | entry_N      | 7.07         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
325   | entry_N_0       | entry_N      | 7.10         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
326   | entry_N_0       | entry_N      | 7.14         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
327   | entry_N_0       | entry_N      | 7.17         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
328   | entry_N_0       | entry_N      | 7.21         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
329   | entry_N_0       | entry_N      | 7.24         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
330   | entry_N_0       | entry_N      | 7.28         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
331   | entry_N_0       | entry_N      | 7.31         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
332   | entry_N_0       | entry_N      | 7.35         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
333   | entry_N_0       | entry_N      | 7.38         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
334   | entry_N_0       | entry_N      | 7.41         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
335   | entry_N_0       | entry_N      | 7.45         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
336   | entry_N_0       | entry_N      | 7.48         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
337   | entry_N_0       | entry_N      | 7.51         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
338   | entry_N_0       | entry_N      | 7.54         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
339   | entry_N_0       | entry_N      | 7.58         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
340   | entry_N_0       | entry_N      | 7.61         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
341   | entry_N_0       | entry_N      | 7.64         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
342   | entry_N_0       | entry_N      | 7.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
343   | entry_N_0       | entry_N      | 7.71         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
344   | entry_N_0       | entry_N      | 7.74         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
345   | entry_N_0       | entry_N      | 7.77         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
346   | entry_N_0       | entry_N      | 7.80         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
347   | entry_N_0       | entry_N      | 7.83         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
348   | entry_N_0       | entry_N      | 7.86         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
349   | entry_N_0       | entry_N      | 7.89         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
350   | entry_N_0       | entry_N      | 7.92         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
351   | entry_N_0       | entry_N      | 7.95         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
352   | entry_N_0       | entry_N      | 7.97         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
353   | entry_N_0       | entry_N      | 8.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
354   | entry_N_0       | entry_N      | 8.02         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
355   | entry_N_0       | entry_N      | 8.04         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
356   | entry_N_0       | entry_N      | 8.06         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
357   | entry_N_0       | entry_N      | 8.08         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
358   | entry_N_0       | entry_N      | 8.10         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
359   | entry_N_0       | entry_N      | 8.12         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
360   | entry_N_0       | entry_N      | 8.13         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
361   | entry_N_0       | entry_N      | 8.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
362   | entry_N_0       | entry_N      | 8.16         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
363   | entry_N_0       | entry_N      | 8.17         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
364   | entry_N_0       | entry_N      | 8.18         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
365   | entry_N_0       | entry_N      | 8.19         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
366   | entry_N_0       | entry_N      | 8.20         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
367   | entry_N_0       | entry_N      | 8.21         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
368   | entry_N_0       | entry_N      | 8.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
369   | entry_N_0       | entry_N      | 8.22         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
370   | entry_N_0       | entry_N      | 8.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
371   | entry_N_0       | entry_N      | 8.23         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
372   | entry_N_0       | entry_N      | 8.21         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
373   | entry_N_0       | entry_N      | 8.19         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
374   | entry_N_0       | entry_N      | 8.15         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
375   | entry_N_0       | entry_N      | 8.12         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
376   | entry_N_0       | entry_N      | 8.08         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
377   | entry_N_0       | entry_N      | 8.05         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
378   | entry_N_0       | entry_N      | 8.03         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
379   | entry_N_0       | entry_N      | 8.00         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
380   | entry_N_0       | entry_N      | 7.96         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
381   | entry_N_0       | entry_N      | 7.93         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
382   | entry_N_0       | entry_N      | 7.89         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
383   | entry_N_0       | entry_N      | 7.85         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
384   | entry_N_0       | entry_N      | 7.81         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
385   | entry_N_0       | entry_N      | 7.77         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
386   | entry_N_0       | entry_N      | 7.72         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
387   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
388   | entry_N_0       | entry_N      | 7.63         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
389   | entry_N_0       | entry_N      | 7.65         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
390   | entry_N_0       | entry_N      | 7.66         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
391   | entry_N_0       | entry_N      | 7.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
392   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
393   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
394   | entry_N_0       | entry_N      | 7.69         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
395   | entry_N_0       | entry_N      | 7.69         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
396   | entry_N_0       | entry_N      | 7.69         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
397   | entry_N_0       | entry_N      | 7.69         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
398   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
399   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
400   | entry_N_0       | entry_N      | 7.68         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
401   | entry_N_0       | entry_N      | 7.67         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
402   | entry_N_0       | entry_N      | 7.66         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
403   | entry_N_0       | entry_N      | 7.64         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
404   | entry_N_0       | entry_N      | 7.62         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
405   | entry_N_0       | entry_N      | 7.60         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
406   | entry_N_0       | entry_N      | 7.57         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
407   | entry_N_0       | entry_N      | 7.55         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
408   | entry_N_0       | entry_N      | 7.52         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
409   | entry_N_0       | entry_N      | 7.50         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
410   | :N_0_0          | :N_0         | 7.47         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
411   | :N_0_0          | :N_0         | 7.45         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
412   | :N_0_0          | :N_0         | 7.42         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
413   | :N_0_0          | :N_0         | 7.39         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
414   | :N_0_0          | :N_0         | 7.36         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
415   | :N_0_0          | :N_0         | 7.33         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
416   | :N_0_0          | :N_0         | 7.30         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
417   | :N_0_0          | :N_0         | 7.27         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
418   | :N_0_0          | :N_0         | 7.24         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
419   | :N_0_0          | :N_0         | 7.21         | 0         | ('entry_N', 'circ_N_W', 'circ_W_S', 'exit_S')
420   | circ_N_W_0      | circ_N_W     | 7.18         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
421   | circ_N_W_0      | circ_N_W     | 7.15         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
422   | circ_N_W_0      | circ_N_W     | 7.12         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
423   | circ_N_W_0      | circ_N_W     | 7.09         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
424   | circ_N_W_0      | circ_N_W     | 7.06         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
425   | circ_N_W_0      | circ_N_W     | 7.03         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
426   | circ_N_W_0      | circ_N_W     | 7.00         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
427   | circ_N_W_0      | circ_N_W     | 7.01         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
428   | circ_N_W_0      | circ_N_W     | 7.01         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
429   | circ_N_W_0      | circ_N_W     | 7.02         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
430   | circ_N_W_0      | circ_N_W     | 7.02         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
431   | circ_N_W_0      | circ_N_W     | 7.03         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
432   | circ_N_W_0      | circ_N_W     | 7.04         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
433   | circ_N_W_0      | circ_N_W     | 7.04         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
434   | circ_N_W_0      | circ_N_W     | 7.05         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
435   | circ_N_W_0      | circ_N_W     | 7.05         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
436   | circ_N_W_0      | circ_N_W     | 7.06         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
437   | circ_N_W_0      | circ_N_W     | 7.06         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
438   | circ_N_W_0      | circ_N_W     | 7.07         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
439   | circ_N_W_0      | circ_N_W     | 7.07         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
440   | circ_N_W_0      | circ_N_W     | 7.08         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
441   | circ_N_W_0      | circ_N_W     | 7.08         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
442   | circ_N_W_0      | circ_N_W     | 7.09         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
443   | circ_N_W_0      | circ_N_W     | 7.09         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
444   | circ_N_W_0      | circ_N_W     | 7.10         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
445   | circ_N_W_0      | circ_N_W     | 7.10         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
446   | circ_N_W_0      | circ_N_W     | 7.11         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
447   | circ_N_W_0      | circ_N_W     | 7.11         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
448   | circ_N_W_0      | circ_N_W     | 7.12         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
449   | circ_N_W_0      | circ_N_W     | 7.12         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
450   | circ_N_W_0      | circ_N_W     | 7.13         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
451   | circ_N_W_0      | circ_N_W     | 7.13         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
452   | circ_N_W_0      | circ_N_W     | 7.14         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
453   | circ_N_W_0      | circ_N_W     | 7.14         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
454   | circ_N_W_0      | circ_N_W     | 7.15         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
455   | circ_N_W_0      | circ_N_W     | 7.16         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
456   | circ_N_W_0      | circ_N_W     | 7.16         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
457   | circ_N_W_0      | circ_N_W     | 7.17         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
458   | circ_N_W_0      | circ_N_W     | 7.17         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
459   | circ_N_W_0      | circ_N_W     | 7.18         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
460   | circ_N_W_0      | circ_N_W     | 7.18         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
461   | circ_N_W_0      | circ_N_W     | 7.19         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
462   | circ_N_W_0      | circ_N_W     | 7.21         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
463   | circ_N_W_0      | circ_N_W     | 7.22         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
464   | circ_N_W_0      | circ_N_W     | 7.23         | 1         | ('circ_N_W', 'circ_W_S', 'exit_S')
